Iteration;Accuracy;Loss
1.0;0.9841269850730896;0.06633753329515457
2.0;0.9682539701461792;0.10396678000688553
3.0;0.9365079402923584;0.2388850599527359
4.0;0.9841269850730896;0.06438752263784409
5.0;1.0;0.02038097009062767
6.0;0.9682539701461792;0.07398191839456558
7.0;0.9841269850730896;0.04716865345835686
8.0;1.0;0.012243229895830154
9.0;0.9841269850730896;0.14917726814746857
10.0;0.9682539701461792;0.11920677870512009
11.0;0.9841269850730896;0.04585732892155647
12.0;1.0;0.008316854014992714
13.0;1.0;0.008653677068650723
14.0;1.0;0.0039619519375264645
15.0;0.9841269850730896;0.021166687831282616
16.0;0.9841269850730896;0.0177525095641613
17.0;1.0;0.0039412337355315685
18.0;1.0;0.003528091823682189
19.0;1.0;0.004724256694316864
20.0;1.0;0.0015564580680802464
21.0;1.0;0.0028973075095564127
22.0;1.0;0.004251599777489901
23.0;1.0;0.0016924785450100899
24.0;1.0;0.0016025598160922527
25.0;1.0;0.000559537613298744
26.0;1.0;0.0015984801575541496
27.0;1.0;0.0015160334296524525
28.0;1.0;0.001752007519826293
29.0;1.0;0.0020089743193238974
30.0;1.0;0.000909151101950556
31.0;1.0;0.0013032902497798204
32.0;1.0;0.0004028046678286046
33.0;1.0;0.0006632155855186284
34.0;1.0;0.001067533390596509
35.0;1.0;0.001832354231737554
36.0;1.0;0.0011602162849158049
37.0;1.0;0.00019098984193988144
38.0;1.0;0.0008819797076284885
39.0;1.0;0.0017716529546305537
40.0;1.0;0.0007055816822685301
41.0;1.0;0.00036389517481438816
42.0;1.0;0.00039794089389033616
43.0;1.0;0.001511989044956863
44.0;1.0;0.0003513546835165471
45.0;1.0;0.0004794142150785774
46.0;1.0;0.0006051473319530487
47.0;1.0;0.0010001553455367684
48.0;1.0;0.00042205440695397556
49.0;1.0;3.925279816030525e-05
50.0;1.0;0.0008056562510319054
51.0;1.0;0.0002789022692013532
52.0;1.0;0.000359854573616758
53.0;1.0;0.0002951349306385964
54.0;1.0;0.0006036581471562386
55.0;1.0;0.0006976362783461809
56.0;1.0;0.0001726233313092962
57.0;1.0;0.000392641726648435
58.0;1.0;0.00026325517683289945
59.0;1.0;0.00026685994816944003
60.0;1.0;0.00046501070028170943
61.0;1.0;0.0004405628424137831
62.0;1.0;0.0015040308935567737
63.0;1.0;0.0006868535419926047
64.0;1.0;0.00013585880515165627
65.0;1.0;0.000554316327907145
66.0;1.0;0.00016236980445683002
67.0;1.0;0.00020335409499239177
68.0;1.0;0.00017494453641120344
69.0;1.0;0.00025248914607800543
70.0;1.0;0.0006603780202567577
71.0;1.0;0.00020388569100759923
72.0;1.0;9.119441529037431e-05
73.0;1.0;0.00010135034972336143
74.0;1.0;0.0002311085700057447
75.0;1.0;0.00021722671226598322
76.0;1.0;0.0001698366249911487
77.0;1.0;4.366512075648643e-05
78.0;1.0;0.0003662368399091065
79.0;1.0;0.0003616071189753711
80.0;1.0;0.00034638133365660906
81.0;1.0;0.0002908435126300901
82.0;1.0;9.268461872125044e-05
83.0;1.0;0.00024980673333629966
84.0;1.0;0.00011368191917426884
85.0;1.0;5.700608380720951e-05
86.0;1.0;0.00038189435144886374
87.0;1.0;0.00019771797815337777
88.0;1.0;0.0003067098732572049
89.0;1.0;0.0002744164958130568
90.0;1.0;0.00014571379870176315
91.0;1.0;0.0002941770071629435
92.0;1.0;0.00019417490693740547
93.0;1.0;0.00013368306099437177
94.0;1.0;0.00025452004047110677
95.0;1.0;0.00014334938896354288
96.0;1.0;0.0008827318670228124
97.0;1.0;0.00010642306006047875
98.0;1.0;0.00028739479603245854
99.0;1.0;0.00016948048141784966
100.0;1.0;1.899456765386276e-05
