Iteration;Accuracy;Loss
1.0;0.5742999911308289;1.7489776956558227
2.0;0.5565000176429749;1.298263646888733
3.0;0.6100999712944031;1.070886552810669
4.0;0.6692000031471252;0.9232024668693543
5.0;0.6866999864578247;0.8359865377426148
6.0;0.7178000211715698;0.7665821033954621
7.0;0.7354000210762024;0.7230889407157898
8.0;0.7451000213623047;0.6886172708034516
9.0;0.7515000104904175;0.6619127006053924
10.0;0.7602999806404114;0.6364999848842621
11.0;0.7687000036239624;0.611876848268509
12.0;0.7774999737739563;0.5920213478088379
13.0;0.7835999727249146;0.5748999661445617
14.0;0.7893999814987183;0.5625986752033234
15.0;0.795799970626831;0.5478114501476288
16.0;0.7998999953269958;0.5352366702079773
17.0;0.8061000108718872;0.5228098402023316
18.0;0.8095999956130981;0.5139900188207627
19.0;0.8144999742507935;0.5053349050045013
20.0;0.8195000290870667;0.4943486120939255
21.0;0.8220000267028809;0.4870101055145264
22.0;0.823199987411499;0.48056626634597777
23.0;0.8277000188827515;0.47219883396625517
24.0;0.8331000208854675;0.46436023139953614
25.0;0.8360000252723694;0.4574580317497253
26.0;0.8385000228881836;0.4514742468833923
27.0;0.840499997138977;0.4465310024023056
28.0;0.8445000052452087;0.4408966373682022
29.0;0.8453999757766724;0.4365085553884506
30.0;0.8450000286102295;0.4339753423213959
31.0;0.8471999764442444;0.4288281606674194
32.0;0.8489000201225281;0.42508115887641906
33.0;0.850600004196167;0.4193018928527832
34.0;0.8517000079154968;0.41535400965213776
35.0;0.8521999716758728;0.4114371023654938
36.0;0.8532999753952026;0.40847773528099063
37.0;0.8544999957084656;0.4043922445297241
38.0;0.8567000031471252;0.40123385109901427
39.0;0.8575000166893005;0.3982498629331589
40.0;0.8569999933242798;0.3958418118715286
41.0;0.8579000234603882;0.39219117197990416
42.0;0.8586000204086304;0.3883923468351364
43.0;0.8593999743461609;0.3859107364416122
44.0;0.8596000075340271;0.38318232111930844
45.0;0.8601999878883362;0.3810434113264084
46.0;0.86080002784729;0.3791400402545929
47.0;0.8604999780654907;0.37640730686187746
48.0;0.8621000051498413;0.37436436183452604
49.0;0.8632000088691711;0.37136072483062743
50.0;0.8644000291824341;0.36838133873939516
51.0;0.8647000193595886;0.36627672868967054
52.0;0.8662999868392944;0.364606415271759
53.0;0.8673999905586243;0.3623349787116051
54.0;0.8679999709129333;0.3597782650589943
55.0;0.8683000206947327;0.3578089193344116
56.0;0.8698999881744385;0.35633154009580614
57.0;0.8705999851226807;0.35532213757038117
58.0;0.8715000152587891;0.3523684428453445
59.0;0.8723999857902527;0.34981204090118406
60.0;0.8726999759674072;0.3485055458545685
61.0;0.8733999729156494;0.34658115792274474
62.0;0.8752999901771545;0.3446445066690445
63.0;0.8755000233650208;0.3427640427350998
64.0;0.8745999932289124;0.34106980602741244
65.0;0.8763999938964844;0.33930406789779666
66.0;0.8774999976158142;0.3373636501550674
67.0;0.8783000111579895;0.3357372907757759
68.0;0.8769999742507935;0.33466685940027235
69.0;0.878000020980835;0.33361583139896395
70.0;0.8790000081062317;0.33204998874664304
71.0;0.8799999952316284;0.3300091277003288
72.0;0.8801000118255615;0.3285803878068924
73.0;0.880299985408783;0.3275842491388321
74.0;0.8813999891281128;0.32598519246578217
75.0;0.8819000124931335;0.3241708011984825
76.0;0.8827999830245972;0.32287951666116715
77.0;0.8834999799728394;0.32115404691696164
78.0;0.8834999799728394;0.32039169676303864
79.0;0.8833000063896179;0.31919732035398485
80.0;0.8848000168800354;0.3179973539352417
81.0;0.885200023651123;0.31718076777458193
82.0;0.8841999769210815;0.3159516494512558
83.0;0.885699987411499;0.3142228565812111
84.0;0.8870000243186951;0.3127611632704735
85.0;0.8871999979019165;0.31187848578691485
86.0;0.8858000040054321;0.31126754083633423
87.0;0.8865000009536743;0.3101813523054123
88.0;0.8871999979019165;0.3086738433241844
89.0;0.88919997215271;0.30692858289480207
90.0;0.8895999789237976;0.3059348792076111
91.0;0.88919997215271;0.3053105472922325
92.0;0.88919997215271;0.304739407145977
93.0;0.8902999758720398;0.3031690628170967
94.0;0.8894000053405762;0.30229330880641936
95.0;0.8895000219345093;0.3013532734155655
96.0;0.8917999863624573;0.29957313767671584
97.0;0.8920000195503235;0.29890988196134566
98.0;0.8928999900817871;0.2977539198279381
99.0;0.892799973487854;0.2970531326770782
100.0;0.8925999999046326;0.29636875978708266
