Iteration;Accuracy
1.0;0.8895000219345093
2.0;0.9126999974250793
3.0;0.9221000075340271
4.0;0.9301000237464905
5.0;0.9366000294685364
6.0;0.9406999945640564
7.0;0.945900022983551
8.0;0.9480999708175659
9.0;0.95169997215271
10.0;0.954200029373169
11.0;0.9555000066757202
12.0;0.9577000141143799
13.0;0.9606999754905701
14.0;0.9617000222206116
15.0;0.963100016117096
16.0;0.9632999897003174
17.0;0.9646000266075134
18.0;0.9660000205039978
19.0;0.9671000242233276
20.0;0.9678000211715698
21.0;0.9678999781608582
22.0;0.9686999917030334
23.0;0.9690999984741211
24.0;0.9696000218391418
25.0;0.9707000255584717
26.0;0.9714000225067139
27.0;0.9721999764442444
28.0;0.9729999899864197
29.0;0.9732999801635742
30.0;0.9735000133514404
31.0;0.9743000268936157
32.0;0.9739999771118164
33.0;0.9746000170707703
34.0;0.9754999876022339
35.0;0.975600004196167
36.0;0.9763000011444092
37.0;0.9768999814987183
38.0;0.9771000146865845
39.0;0.9772999882698059
40.0;0.977400004863739
41.0;0.9776999950408936
42.0;0.9779000282287598
43.0;0.9779999852180481
44.0;0.9782999753952026
45.0;0.9782999753952026
46.0;0.9787999987602234
47.0;0.9781000018119812
48.0;0.9787999987602234
49.0;0.9785000085830688
50.0;0.9789000153541565
51.0;0.9789000153541565
52.0;0.9785000085830688
53.0;0.9799000024795532
54.0;0.9785000085830688
55.0;0.9797000288963318
56.0;0.9800000190734863
57.0;0.979200005531311
58.0;0.9800999760627747
59.0;0.9799000024795532
60.0;0.9803000092506409
61.0;0.9799000024795532
62.0;0.9799000024795532
63.0;0.9800999760627747
64.0;0.9801999926567078
65.0;0.9807999730110168
66.0;0.9800000190734863
67.0;0.9807999730110168
68.0;0.9815999865531921
69.0;0.9807000160217285
70.0;0.9818999767303467
71.0;0.9811000227928162
72.0;0.98089998960495
73.0;0.9811999797821045
74.0;0.9807999730110168
75.0;0.9811999797821045
76.0;0.9814000129699707
77.0;0.9807000160217285
78.0;0.9810000061988831
79.0;0.9810000061988831
80.0;0.9812999963760376
81.0;0.9807999730110168
82.0;0.9818000197410583
83.0;0.9815000295639038
84.0;0.982200026512146
85.0;0.9814000129699707
86.0;0.9815000295639038
87.0;0.9825000166893005
88.0;0.9818999767303467
89.0;0.9822999835014343
90.0;0.982200026512146
91.0;0.9824000000953674
92.0;0.9818000197410583
93.0;0.9821000099182129
94.0;0.9814000129699707
95.0;0.9824000000953674
96.0;0.982200026512146
97.0;0.9824000000953674
98.0;0.9819999933242798
99.0;0.9817000031471252
100.0;0.9817000031471252
