Iteration;Accuracy;Loss;Grads
1.0;0.25200000405311584;2.0791752338409424;650868730.0
2.0;0.25200000405311584;2.0789284706115723;1301737460.0
3.0;0.27900001406669617;2.078695774078369;1952606190.0
4.0;0.296999990940094;2.0784571170806885;2603474920.0
5.0;0.28299999237060547;2.0782227516174316;3254343650.0
6.0;0.29100000858306885;2.0779805183410645;3905212380.0
7.0;0.31700000166893005;2.0777196884155273;4556081110.0
8.0;0.29899999499320984;2.077439308166504;5206949840.0
9.0;0.35600000619888306;2.0771193504333496;5857818570.0
10.0;0.3529999852180481;2.0767502784729004;6508687300.0
11.0;0.3499999940395355;2.076364040374756;7159556030.0
12.0;0.36000001430511475;2.0759410858154297;7810424760.0
13.0;0.3580000102519989;2.0754928588867188;8461293490.0
14.0;0.3569999933242798;2.0750129222869873;9112162220.0
15.0;0.3659999966621399;2.0744810104370117;9763030950.0
16.0;0.32199999690055847;2.0739223957061768;10413899680.0
17.0;0.3529999852180481;2.073275089263916;11064768410.0
18.0;0.36500000953674316;2.0725960731506348;11715637140.0
19.0;0.36000001430511475;2.071859836578369;12366505870.0
20.0;0.3569999933242798;2.071019172668457;13017374600.0
21.0;0.3580000102519989;2.0701515674591064;13668243330.0
22.0;0.34700000286102295;2.0691518783569336;14319112060.0
23.0;0.3479999899864197;2.0680925846099854;14969980790.0
24.0;0.33799999952316284;2.0669846534729004;15620849520.0
25.0;0.33799999952316284;2.065685510635376;16271718250.0
26.0;0.3370000123977661;2.064293384552002;16922586980.0
27.0;0.34599998593330383;2.0627331733703613;17573455710.0
28.0;0.34599998593330383;2.061062812805176;18224324440.0
29.0;0.33799999952316284;2.0592055320739746;18875193170.0
30.0;0.34200000762939453;2.0571553707122803;19526061900.0
31.0;0.3400000035762787;2.054865837097168;20176930630.0
32.0;0.3370000123977661;2.0522329807281494;20827799360.0
33.0;0.3319999873638153;2.049319267272949;21478668090.0
34.0;0.33000001311302185;2.0460011959075928;22129536820.0
35.0;0.31700000166893005;2.0419347286224365;22780405550.0
36.0;0.32199999690055847;2.037257194519043;23431274280.0
37.0;0.32199999690055847;2.031644582748413;24082143010.0
38.0;0.33399999141693115;2.024890422821045;24733011740.0
39.0;0.3240000009536743;2.0159435272216797;25383880470.0
40.0;0.32199999690055847;2.0042121410369873;26034749200.0
41.0;0.3059999942779541;1.9879984855651855;26685617930.0
42.0;0.2809999883174896;1.965016484260559;27336486660.0
43.0;0.257999986410141;1.9321422576904297;27987355390.0
44.0;0.28700000047683716;1.8789782524108887;28638224120.0
45.0;0.257999986410141;1.8663424253463745;29289092850.0
46.0;0.3050000071525574;1.8326345682144165;29938787697.0
47.0;0.1889999955892563;1.8763911724090576;30587557694.0
48.0;0.31700000166893005;1.770396113395691;31231073204.0
49.0;0.32499998807907104;1.7492728233337402;31873833780.0
50.0;0.2529999911785126;1.8223265409469604;32515696107.0
51.0;0.3370000123977661;1.6879206895828247;33156354013.0
52.0;0.14900000393390656;1.902336835861206;33796611799.0
53.0;0.328000009059906;1.6234403848648071;34436509500.0
54.0;0.27799999713897705;1.7866047620773315;35077080503.0
55.0;0.3319999873638153;1.583136796951294;35717378328.0
56.0;0.12700000405311584;2.081294298171997;36358056814.0
57.0;0.328000009059906;1.62128746509552;36996752872.0
58.0;0.32600000500679016;1.5511949062347412;37636223313.0
59.0;0.3199999928474426;1.5986967086791992;38275865310.0
60.0;0.32899999618530273;1.5205999612808228;38915613211.0
61.0;0.3330000042915344;1.5183987617492676;39556136426.0
62.0;0.31200000643730164;1.5248949527740479;40197265663.0
63.0;0.33500000834465027;1.5039469003677368;40838286939.0
64.0;0.32199999690055847;1.4796804189682007;41479989726.0
65.0;0.24400000274181366;1.6901172399520874;42120481649.0
66.0;0.35100001096725464;1.4713122844696045;42761037039.0
