Iteration;Accuracy;Loss
1.0;0.8730158805847168;0.3360305726528168
2.0;0.9365079402923584;0.23314031958580017
3.0;0.9047619104385376;0.3177493214607239
4.0;0.9365079402923584;0.19321341812610626
5.0;0.9365079402923584;0.18965278565883636
6.0;0.9841269850730896;0.11804700642824173
7.0;0.9047619104385376;0.14003948867321014
8.0;0.9523809552192688;0.10591328889131546
9.0;0.9841269850730896;0.10260774940252304
10.0;0.920634925365448;0.22126705944538116
11.0;0.9365079402923584;0.15120914578437805
12.0;0.9523809552192688;0.07213490456342697
13.0;0.9682539701461792;0.10369750112295151
14.0;0.9682539701461792;0.07802232354879379
15.0;0.920634925365448;0.17690111696720123
16.0;1.0;0.02210569754242897
17.0;0.9523809552192688;0.13263988494873047
18.0;0.9523809552192688;0.07238539308309555
19.0;1.0;0.028432944789528847
20.0;0.9841269850730896;0.024800624698400497
21.0;0.9682539701461792;0.06771057844161987
22.0;1.0;0.026001058518886566
23.0;1.0;0.019055120646953583
24.0;1.0;0.027465982362627983
25.0;0.9841269850730896;0.026846112683415413
26.0;0.9841269850730896;0.01844744198024273
27.0;1.0;0.00974634476006031
28.0;1.0;0.0014832888264209032
29.0;0.9841269850730896;0.013910113833844662
30.0;1.0;0.0005095303640700877
31.0;1.0;0.0009298600489273667
32.0;1.0;0.005308624356985092
33.0;1.0;0.0010257858084514737
34.0;1.0;0.0013967780396342278
35.0;1.0;0.005218705628067255
36.0;1.0;0.0001846119703259319
37.0;1.0;0.0008327578543685377
38.0;1.0;0.00013907348329667002
39.0;1.0;0.000356196949724108
40.0;1.0;5.6733540986897424e-05
41.0;1.0;0.0001062140945577994
42.0;1.0;8.154808165272698e-05
43.0;1.0;8.626104681752622e-05
44.0;1.0;0.00010749928333098069
45.0;1.0;9.457999840378761e-05
46.0;1.0;0.00014040071982890368
47.0;1.0;0.0003567974781617522
48.0;1.0;6.056240454199724e-05
49.0;1.0;0.00028892228147014976
50.0;1.0;0.000209677338716574
51.0;1.0;0.00014596192340832204
52.0;1.0;0.00012282448005862534
53.0;1.0;9.487353963777423e-05
54.0;1.0;9.03041145647876e-05
55.0;1.0;6.783591379644349e-05
56.0;1.0;7.278178964043036e-05
57.0;1.0;0.0001334846019744873
58.0;1.0;2.6399759008199908e-05
59.0;1.0;0.00026502981199882925
60.0;1.0;9.905800834530964e-05
61.0;1.0;5.886036888114177e-05
62.0;1.0;5.1235831051599234e-05
63.0;1.0;5.097294706501998e-05
64.0;1.0;4.0715527575230226e-05
65.0;1.0;1.9893113858415745e-05
66.0;1.0;7.22300392226316e-05
67.0;1.0;4.835141226067208e-05
68.0;1.0;9.611435234546661e-05
69.0;1.0;3.5813300200970843e-05
70.0;1.0;0.00021504831966012716
71.0;1.0;7.92381979408674e-05
72.0;1.0;0.00012839899864047766
73.0;1.0;7.226737943710759e-05
74.0;1.0;3.7305224395822734e-05
75.0;1.0;9.170933481073007e-05
76.0;1.0;1.3890657101001125e-05
77.0;1.0;0.00015698582865297794
78.0;1.0;4.171893306192942e-05
79.0;1.0;9.958449663827196e-05
80.0;1.0;1.2073067409801297e-05
81.0;1.0;4.256887041265145e-05
82.0;1.0;7.271376671269536e-05
83.0;1.0;4.2651285184547305e-05
84.0;1.0;7.215299410745502e-05
85.0;1.0;7.908073894213885e-05
86.0;1.0;2.2560554498340935e-05
87.0;1.0;5.492676064022817e-05
88.0;1.0;3.5480396036291495e-05
89.0;1.0;9.492049139225855e-05
90.0;1.0;1.3255184057925362e-05
91.0;1.0;3.8979989767540246e-05
92.0;1.0;1.1514188372530043e-05
93.0;1.0;0.00010727882181527093
94.0;1.0;4.90566817461513e-05
95.0;1.0;5.491247429745272e-05
96.0;1.0;2.3825650714570656e-05
97.0;1.0;5.0308848585700616e-05
98.0;1.0;8.450101449852809e-05
99.0;1.0;8.071961929090321e-05
100.0;1.0;2.0803056031581946e-05
