Iteration;Accuracy
1.0;0.6287000179290771
2.0;0.746999979019165
3.0;0.7581999897956848
4.0;0.7850000262260437
5.0;0.8187999725341797
6.0;0.8472999930381775
7.0;0.8665000200271606
8.0;0.8777999877929688
9.0;0.8859999775886536
10.0;0.8913000226020813
11.0;0.8952000141143799
12.0;0.9016000032424927
13.0;0.9053999781608582
14.0;0.9093999862670898
15.0;0.9135000109672546
16.0;0.9154999852180481
17.0;0.9180999994277954
18.0;0.9194999933242798
19.0;0.9221000075340271
20.0;0.9240999817848206
21.0;0.9265000224113464
22.0;0.9277999997138977
23.0;0.9300000071525574
24.0;0.9319000244140625
25.0;0.9332000017166138
26.0;0.9348999857902527
27.0;0.9354000091552734
28.0;0.9383000135421753
29.0;0.9395999908447266
30.0;0.9398000240325928
31.0;0.9412000179290771
32.0;0.9426000118255615
33.0;0.9427000284194946
34.0;0.9445000290870667
35.0;0.9455000162124634
36.0;0.9463000297546387
37.0;0.9470000267028809
38.0;0.9478999972343445
39.0;0.9490000009536743
40.0;0.9496999979019165
41.0;0.9506000280380249
42.0;0.9509999752044678
43.0;0.9514999985694885
44.0;0.9516000151634216
45.0;0.9524000287055969
46.0;0.953499972820282
47.0;0.9545999765396118
48.0;0.9552000164985657
49.0;0.9556999802589417
50.0;0.9560999870300293
51.0;0.9563999772071838
52.0;0.9571999907493591
53.0;0.9577999711036682
54.0;0.9587000012397766
55.0;0.9589999914169312
56.0;0.9592000246047974
57.0;0.960099995136261
58.0;0.9610000252723694
59.0;0.9611999988555908
60.0;0.9614999890327454
61.0;0.9617999792098999
62.0;0.9621999859809875
63.0;0.9624000191688538
64.0;0.9624999761581421
65.0;0.963100016117096
66.0;0.9635999798774719
67.0;0.9635000228881836
68.0;0.9635999798774719
69.0;0.9638000130653381
70.0;0.9645000100135803
71.0;0.9646000266075134
72.0;0.964900016784668
73.0;0.965399980545044
74.0;0.9656000137329102
75.0;0.965499997138977
76.0;0.9659000039100647
77.0;0.9666000008583069
78.0;0.96670001745224
79.0;0.9668999910354614
80.0;0.9670000076293945
81.0;0.9671000242233276
82.0;0.9675999879837036
83.0;0.9682000279426575
84.0;0.9684000015258789
85.0;0.968500018119812
86.0;0.968500018119812
87.0;0.9689000248908997
88.0;0.9696000218391418
89.0;0.9699000120162964
90.0;0.9693999886512756
91.0;0.9697999954223633
92.0;0.9696000218391418
93.0;0.9702000021934509
94.0;0.9696000218391418
95.0;0.9697999954223633
96.0;0.970300018787384
97.0;0.9704999923706055
98.0;0.9707000255584717
99.0;0.97079998254776
100.0;0.9704999923706055
