Iteration;Accuracy;Loss
1.0;0.6754999756813049;1.9346345724105836
2.0;0.7458000183105469;0.7968728686332702
3.0;0.8403000235557556;0.5112616499662399
4.0;0.8939999938011169;0.3553674324989319
5.0;0.9171000123023987;0.27430488223433497
6.0;0.9312999844551086;0.22513083384558558
7.0;0.9412000179290771;0.1906869678683579
8.0;0.9473000168800354;0.16670641108490528
9.0;0.9527000188827515;0.14782118478603662
10.0;0.9573000073432922;0.13194425749108196
11.0;0.9611999988555908;0.11998855724195018
12.0;0.9635999798774719;0.110127556064073
13.0;0.9656000137329102;0.10177450618501753
14.0;0.9697999954223633;0.09468762121964246
15.0;0.9714000225067139;0.08879119754210114
16.0;0.9726999998092651;0.0840221728047356
17.0;0.9740999937057495;0.07956670429843944
18.0;0.9753000140190125;0.0758255369080929
19.0;0.9767000079154968;0.0722072629155824
20.0;0.9776999950408936;0.06939061369337142
21.0;0.9782999753952026;0.06692926141804782
22.0;0.9789000153541565;0.06425006187029648
23.0;0.9789999723434448;0.06233048453463707
24.0;0.9793999791145325;0.06020583399585448
25.0;0.9800000190734863;0.05857811227857601
26.0;0.980400025844574;0.05713766749381321
27.0;0.9800999760627747;0.05609585288341623
28.0;0.98089998960495;0.05466305349354516
29.0;0.9815000295639038;0.05337578422807274
30.0;0.982200026512146;0.05231153320660815
31.0;0.9829000234603882;0.05103962892440613
32.0;0.9835000038146973;0.049927503582352074
33.0;0.9839000105857849;0.04901090467503527
34.0;0.984000027179718;0.04861760317431181
35.0;0.9839000105857849;0.047823494440765356
36.0;0.984499990940094;0.04728925985555106
37.0;0.9851999878883362;0.04658879810210201
38.0;0.9850000143051147;0.045885444404592274
39.0;0.9850999712944031;0.045242710394525786
40.0;0.9854999780654907;0.0443625576151564
41.0;0.98580002784729;0.043710975628407325
42.0;0.9864000082015991;0.043249353608620006
43.0;0.9865000247955322;0.04291107651193161
44.0;0.9869999885559082;0.04247132665219542
45.0;0.9872000217437744;0.041932415962286175
46.0;0.987500011920929;0.0416790553244311
47.0;0.9876000285148621;0.04108985740433273
48.0;0.987500011920929;0.04071000836521125
49.0;0.9878000020980835;0.04039057348075148
50.0;0.9879000186920166;0.04027670879057842
51.0;0.9879000186920166;0.04002235971817572
52.0;0.9879000186920166;0.03975372699462023
53.0;0.9879999756813049;0.0395227733790176
54.0;0.9879000186920166;0.03925382078996335
55.0;0.9883000254631042;0.038910551761076204
56.0;0.9882000088691711;0.038777468697303266
57.0;0.9882000088691711;0.038498074293852554
58.0;0.9883000254631042;0.03835819517917916
59.0;0.9883999824523926;0.03808250410491601
60.0;0.9882000088691711;0.037855788086468965
61.0;0.9883000254631042;0.03757726325502226
62.0;0.9883999824523926;0.037472432070680954
63.0;0.9883999824523926;0.037216416539644706
64.0;0.9884999990463257;0.03697429241941791
65.0;0.9886000156402588;0.03696720432854781
66.0;0.9886999726295471;0.03698249912100291
67.0;0.9887999892234802;0.03705907831067161
68.0;0.9887999892234802;0.03700839445957463
69.0;0.9891999959945679;0.036788860773308264
70.0;0.9890999794006348;0.03661295837697326
71.0;0.9891999959945679;0.036470768286428576
72.0;0.9894000291824341;0.03643732786540786
73.0;0.9894000291824341;0.036364484807198456
74.0;0.9894000291824341;0.036456881131546104
75.0;0.989300012588501;0.03647602188260389
76.0;0.9890000224113464;0.03648436077770421
77.0;0.9890000224113464;0.03641607500138889
78.0;0.9891999959945679;0.03644111334460649
79.0;0.9891999959945679;0.036375527234908805
80.0;0.9890000224113464;0.036444595607066366
81.0;0.9891999959945679;0.036564648925289656
82.0;0.989300012588501;0.03650904989184455
83.0;0.989300012588501;0.03633421779071687
84.0;0.9890999794006348;0.036369204813255604
85.0;0.9894999861717224;0.03647312856448643
86.0;0.9896000027656555;0.03636740080346645
87.0;0.989300012588501;0.03640032121772602
88.0;0.9890999794006348;0.036476813439919355
89.0;0.9894999861717224;0.03673471095708974
90.0;0.989300012588501;0.03699326981884296
91.0;0.9896000027656555;0.03713587737032158
92.0;0.9894999861717224;0.036957169010792316
93.0;0.9894000291824341;0.03689535205508437
94.0;0.9894000291824341;0.03682051365702773
95.0;0.9891999959945679;0.03680421784055497
96.0;0.9894000291824341;0.036855619265525545
97.0;0.9894999861717224;0.036851399439657415
98.0;0.9897000193595886;0.03678417620891068
99.0;0.9894999861717224;0.03708755031179853
100.0;0.9894999861717224;0.037285783042280946
