Iteration;Accuracy
1.0;0.5310999751091003
2.0;0.5802000164985657
3.0;0.6320000290870667
4.0;0.6730999946594238
5.0;0.7139000296592712
6.0;0.7336000204086304
7.0;0.7470999956130981
8.0;0.7590000033378601
9.0;0.7750999927520752
10.0;0.7900000214576721
11.0;0.7968000173568726
12.0;0.8033000230789185
13.0;0.8122000098228455
14.0;0.8199999928474426
15.0;0.8284000158309937
16.0;0.832099974155426
17.0;0.8363000154495239
18.0;0.8410000205039978
19.0;0.8438000082969666
20.0;0.8489999771118164
21.0;0.8507999777793884
22.0;0.8529000282287598
23.0;0.8550000190734863
24.0;0.857200026512146
25.0;0.8590999841690063
26.0;0.8601999878883362
27.0;0.8622000217437744
28.0;0.8632000088691711
29.0;0.8636999726295471
30.0;0.8666999936103821
31.0;0.866599977016449
32.0;0.8680999875068665
33.0;0.8700000047683716
34.0;0.8712999820709229
35.0;0.871999979019165
36.0;0.873199999332428
37.0;0.8751000165939331
38.0;0.8766000270843506
39.0;0.8766999840736389
40.0;0.878000020980835
41.0;0.8783000111579895
42.0;0.8802000284194946
43.0;0.8806999921798706
44.0;0.8805999755859375
45.0;0.882099986076355
46.0;0.883899986743927
47.0;0.8860999941825867
48.0;0.8858000040054321
49.0;0.8870999813079834
50.0;0.8877999782562256
51.0;0.8884999752044678
52.0;0.8895999789237976
53.0;0.8903999924659729
54.0;0.8902000188827515
55.0;0.8903999924659729
56.0;0.8912000060081482
57.0;0.8907999992370605
58.0;0.8913999795913696
59.0;0.8912000060081482
60.0;0.8919000029563904
61.0;0.8937000036239624
62.0;0.8937000036239624
63.0;0.8937000036239624
64.0;0.8950999975204468
65.0;0.8956000208854675
66.0;0.8956000208854675
67.0;0.8963000178337097
68.0;0.8956000208854675
69.0;0.895799994468689
70.0;0.8968999981880188
71.0;0.8967999815940857
72.0;0.8974999785423279
73.0;0.8974000215530396
74.0;0.8981999754905701
75.0;0.8978999853134155
76.0;0.8968999981880188
77.0;0.8978999853134155
78.0;0.8981000185012817
79.0;0.8985999822616577
80.0;0.8989999890327454
81.0;0.899399995803833
82.0;0.8989999890327454
83.0;0.8992000222206116
84.0;0.8988999724388123
85.0;0.9002000093460083
86.0;0.9013000130653381
87.0;0.9003999829292297
88.0;0.9002000093460083
89.0;0.9003000259399414
90.0;0.9002000093460083
91.0;0.8992999792098999
92.0;0.9007999897003174
93.0;0.9009000062942505
94.0;0.9003999829292297
95.0;0.8996000289916992
96.0;0.9010000228881836
97.0;0.9014999866485596
98.0;0.901199996471405
99.0;0.9024999737739563
100.0;0.9025999903678894
