Iteration;Accuracy
1.0;0.21199999749660492
2.0;0.10840000212192535
3.0;0.20170000195503235
4.0;0.21400000154972076
5.0;0.448199987411499
6.0;0.24120000004768372
7.0;0.40849998593330383
8.0;0.42829999327659607
9.0;0.4180000126361847
10.0;0.5781999826431274
11.0;0.6256999969482422
12.0;0.39010000228881836
13.0;0.4106000065803528
14.0;0.3285999894142151
15.0;0.5699999928474426
16.0;0.5120999813079834
17.0;0.6492000222206116
18.0;0.44369998574256897
19.0;0.5817999839782715
20.0;0.6100000143051147
21.0;0.6464999914169312
22.0;0.638700008392334
23.0;0.6226000189781189
24.0;0.6176000237464905
25.0;0.6941999793052673
26.0;0.7473999857902527
27.0;0.7124000191688538
28.0;0.6310999989509583
29.0;0.6165000200271606
30.0;0.6722999811172485
