Iteration;Accuracy
1.0;0.8902000188827515
2.0;0.9136000275611877
3.0;0.9236000180244446
4.0;0.9316999912261963
5.0;0.9368000030517578
6.0;0.9408000111579895
7.0;0.9445000290870667
8.0;0.9477999806404114
9.0;0.9506999850273132
10.0;0.9539999961853027
11.0;0.9556000232696533
12.0;0.958899974822998
13.0;0.9602000117301941
14.0;0.9627000093460083
15.0;0.9634000062942505
16.0;0.9634000062942505
17.0;0.9650999903678894
18.0;0.965499997138977
19.0;0.9685999751091003
20.0;0.9686999917030334
21.0;0.968999981880188
22.0;0.9700000286102295
23.0;0.97079998254776
24.0;0.9717000126838684
25.0;0.972100019454956
26.0;0.972100019454956
27.0;0.9731000065803528
28.0;0.9731000065803528
29.0;0.9742000102996826
30.0;0.9746000170707703
31.0;0.9745000004768372
32.0;0.9753999710083008
33.0;0.9758999943733215
34.0;0.9750999808311462
35.0;0.9747999906539917
36.0;0.975600004196167
37.0;0.9764999747276306
38.0;0.9771999716758728
39.0;0.9769999980926514
40.0;0.9765999913215637
41.0;0.9779000282287598
42.0;0.9779999852180481
43.0;0.9775000214576721
44.0;0.9776999950408936
45.0;0.9775000214576721
46.0;0.977400004863739
47.0;0.9775999784469604
48.0;0.9781000018119812
49.0;0.9778000116348267
50.0;0.9783999919891357
51.0;0.9779000282287598
52.0;0.9789000153541565
53.0;0.9787999987602234
54.0;0.9790999889373779
55.0;0.9790999889373779
56.0;0.979200005531311
57.0;0.9793999791145325
58.0;0.9786999821662903
59.0;0.9800000190734863
60.0;0.9793000221252441
61.0;0.9794999957084656
62.0;0.9794999957084656
63.0;0.9800000190734863
64.0;0.9793999791145325
65.0;0.9796000123023987
66.0;0.9800000190734863
67.0;0.9799000024795532
68.0;0.9801999926567078
69.0;0.9801999926567078
70.0;0.9797000288963318
71.0;0.9797999858856201
72.0;0.9797000288963318
73.0;0.9799000024795532
74.0;0.9797999858856201
75.0;0.9805999994277954
76.0;0.9810000061988831
77.0;0.9803000092506409
78.0;0.98089998960495
79.0;0.9800999760627747
80.0;0.9801999926567078
81.0;0.9814000129699707
82.0;0.9810000061988831
83.0;0.9805999994277954
84.0;0.9801999926567078
85.0;0.9810000061988831
86.0;0.9807000160217285
87.0;0.9810000061988831
88.0;0.9807999730110168
89.0;0.9814000129699707
90.0;0.98089998960495
91.0;0.9810000061988831
92.0;0.9815000295639038
93.0;0.9811000227928162
94.0;0.9811999797821045
95.0;0.9811000227928162
96.0;0.9807999730110168
97.0;0.9812999963760376
98.0;0.9814000129699707
99.0;0.9814000129699707
100.0;0.9811000227928162
