Iteration;Accuracy;Loss;Grads
1.0;0.7457000017166138;0.7273701429367065;8316860.0
2.0;0.784600019454956;0.5722711682319641;16633729.0
3.0;0.8133999705314636;0.4960762560367584;24950590.0
4.0;0.8357999920845032;0.45673027634620667;33267452.0
5.0;0.8436999917030334;0.43076157569885254;41584323.0
6.0;0.8521999716758728;0.40877315402030945;49901181.0
7.0;0.8574000000953674;0.3956441879272461;58218040.0
8.0;0.8611999750137329;0.3815964162349701;66534904.0
9.0;0.8652999997138977;0.3717299699783325;74851774.0
10.0;0.868399977684021;0.35972732305526733;83168647.0
11.0;0.8727999925613403;0.3518678843975067;91485520.0
12.0;0.8759999871253967;0.34554851055145264;99802388.0
13.0;0.8756999969482422;0.34015199542045593;108119248.0
14.0;0.8791000247001648;0.3329540491104126;116436114.0
15.0;0.8817999958992004;0.32421502470970154;124752988.0
16.0;0.8838000297546387;0.31945672631263733;133069867.0
17.0;0.8866999745368958;0.3130037486553192;141386739.0
18.0;0.8878999948501587;0.3094380795955658;149703602.0
19.0;0.8906000256538391;0.3053334355354309;158020469.0
20.0;0.8898000121116638;0.303287148475647;166337329.0
21.0;0.892300009727478;0.29678425192832947;174654188.0
22.0;0.8932999968528748;0.29471254348754883;182971051.0
23.0;0.8932999968528748;0.29216212034225464;191287924.0
24.0;0.8960000276565552;0.2845522463321686;199604794.0
25.0;0.8970000147819519;0.28423237800598145;207921661.0
26.0;0.8963000178337097;0.2821584641933441;216238532.0
27.0;0.8988000154495239;0.2770421504974365;224555406.0
28.0;0.9006999731063843;0.2748814523220062;232872293.0
29.0;0.8988000154495239;0.275958389043808;241189160.0
30.0;0.9013000130653381;0.2694978415966034;249506027.0
31.0;0.902899980545044;0.26757076382637024;257822888.0
32.0;0.9034000039100647;0.2670002579689026;266139743.0
33.0;0.9036999940872192;0.2648875415325165;274456607.0
34.0;0.9053000211715698;0.261698842048645;282773464.0
35.0;0.9071000218391418;0.2612646222114563;291090329.0
36.0;0.9053000211715698;0.25884294509887695;299407186.0
37.0;0.9057999849319458;0.2591830790042877;307724054.0
38.0;0.9067000150680542;0.2563425302505493;316040926.0
39.0;0.9089000225067139;0.2550879418849945;324357789.0
40.0;0.9099000096321106;0.25232967734336853;332674661.0
41.0;0.9092000126838684;0.25161802768707275;340991522.0
42.0;0.9114999771118164;0.2508379817008972;349308385.0
43.0;0.9100000262260437;0.2487560510635376;357625247.0
44.0;0.9121000170707703;0.2476869374513626;365942105.0
45.0;0.9104999899864197;0.2484113723039627;374258963.0
46.0;0.9121000170707703;0.24710747599601746;382575823.0
47.0;0.9111999869346619;0.24794384837150574;390892682.0
48.0;0.9121999740600586;0.2458648681640625;399209554.0
49.0;0.9133999943733215;0.24658749997615814;407526415.0
50.0;0.9136000275611877;0.242203488945961;415843278.0
51.0;0.9135000109672546;0.2410978078842163;424160145.0
52.0;0.9140999913215637;0.23999425768852234;432477000.0
53.0;0.9157999753952026;0.24063114821910858;440793862.0
54.0;0.9146999716758728;0.24080871045589447;449110721.0
55.0;0.9150000214576721;0.24080567061901093;457427586.0
56.0;0.9153000116348267;0.24256962537765503;465744450.0
57.0;0.9160000085830688;0.24222742021083832;474061316.0
58.0;0.9161999821662903;0.23812150955200195;482378177.0
59.0;0.9154000282287598;0.23960915207862854;490695040.0
60.0;0.9168999791145325;0.24394917488098145;499011902.0
61.0;0.9157000184059143;0.24397219717502594;507328762.0
62.0;0.9158999919891357;0.24076510965824127;515645627.0
63.0;0.9171000123023987;0.23987102508544922;523962496.0
64.0;0.9168999791145325;0.23951655626296997;532279359.0
65.0;0.9178000092506409;0.24116528034210205;540596214.0
66.0;0.9171000123023987;0.2445642650127411;548913078.0
67.0;0.9186999797821045;0.2415444403886795;557229941.0
68.0;0.9180999994277954;0.24280458688735962;565546802.0
69.0;0.9180999994277954;0.24206951260566711;573863666.0
70.0;0.9190000295639038;0.24146105349063873;582180529.0
71.0;0.9178000092506409;0.24415041506290436;590497393.0
72.0;0.9196000099182129;0.24219396710395813;598814269.0
73.0;0.9203000068664551;0.24277597665786743;607131135.0
74.0;0.9190000295639038;0.24610278010368347;615447994.0
75.0;0.9200999736785889;0.2478213608264923;623764855.0
76.0;0.9182000160217285;0.24861164391040802;632081713.0
77.0;0.9175000190734863;0.2521822452545166;640398576.0
78.0;0.9199000000953674;0.2531541883945465;648715438.0
79.0;0.9204999804496765;0.2504139840602875;657032309.0
80.0;0.9187999963760376;0.2500670254230499;665349176.0
81.0;0.9190999865531921;0.25181856751441956;673666035.0
82.0;0.920199990272522;0.2524937689304352;681982897.0
83.0;0.9189000129699707;0.2559199333190918;690299760.0
84.0;0.9187999963760376;0.25521746277809143;698616624.0
85.0;0.9189000129699707;0.2569045126438141;706933484.0
86.0;0.9180999994277954;0.2636544406414032;715250347.0
87.0;0.9180999994277954;0.2624363899230957;723567206.0
88.0;0.9193999767303467;0.2639756202697754;731884067.0
89.0;0.9217000007629395;0.26606595516204834;740200927.0
90.0;0.9182999730110168;0.26789143681526184;748517787.0
91.0;0.9190999865531921;0.26775678992271423;756834648.0
92.0;0.9200000166893005;0.26940134167671204;765151517.0
93.0;0.9194999933242798;0.2765811085700989;773468381.0
94.0;0.9205999970436096;0.2763878107070923;781785241.0
95.0;0.9193999767303467;0.2756384313106537;790102095.0
96.0;0.9186999797821045;0.27603545784950256;798418957.0
97.0;0.9204000234603882;0.2815037667751312;806735821.0
98.0;0.9200000166893005;0.2822257876396179;815052679.0
99.0;0.9204000234603882;0.2818940281867981;823369544.0
100.0;0.9193999767303467;0.2848922312259674;831686413.0
101.0;0.9199000000953674;0.29048147797584534;840003276.0
102.0;0.9199000000953674;0.2896948754787445;848320146.0
103.0;0.9196000099182129;0.29261478781700134;856637004.0
104.0;0.9210000038146973;0.2955302596092224;864953865.0
105.0;0.9190000295639038;0.29843446612358093;873270725.0
106.0;0.9190999865531921;0.3021872639656067;881587591.0
107.0;0.9203000068664551;0.3008265495300293;889904448.0
108.0;0.9197999835014343;0.30565130710601807;898221307.0
109.0;0.9203000068664551;0.3111383318901062;906538160.0
110.0;0.9171000123023987;0.31494471430778503;914855025.0
111.0;0.9197999835014343;0.317456990480423;923171889.0
112.0;0.9197999835014343;0.31335321068763733;931488743.0
113.0;0.919700026512146;0.31672999262809753;939805607.0
114.0;0.920799970626831;0.3217257261276245;948122471.0
115.0;0.91839998960495;0.3211243748664856;956439342.0
116.0;0.9178000092506409;0.32170963287353516;964756202.0
117.0;0.9200000166893005;0.3280937075614929;973073086.0
118.0;0.9207000136375427;0.32521820068359375;981389953.0
119.0;0.919700026512146;0.33178937435150146;989706820.0
120.0;0.9204000234603882;0.33064761757850647;998023694.0
121.0;0.9204999804496765;0.33719906210899353;1006340557.0
122.0;0.9211999773979187;0.33525654673576355;1014657434.0
123.0;0.9200000166893005;0.33545753359794617;1022974296.0
124.0;0.9196000099182129;0.3452546000480652;1031291159.0
125.0;0.9196000099182129;0.34919145703315735;1039608020.0
126.0;0.9193999767303467;0.35534825921058655;1047924887.0
127.0;0.920199990272522;0.3542315363883972;1056241771.0
128.0;0.919700026512146;0.35755273699760437;1064558643.0
129.0;0.9204000234603882;0.35830453038215637;1072875508.0
130.0;0.9203000068664551;0.35836920142173767;1081192380.0
131.0;0.919700026512146;0.35762113332748413;1089509258.0
132.0;0.9200999736785889;0.3644714951515198;1097826126.0
133.0;0.920799970626831;0.37606745958328247;1106143011.0
134.0;0.9194999933242798;0.36614736914634705;1114459881.0
135.0;0.9193999767303467;0.37065911293029785;1122776764.0
136.0;0.9207000136375427;0.3672321140766144;1131093643.0
137.0;0.9196000099182129;0.37594524025917053;1139410518.0
138.0;0.9192000031471252;0.3804542124271393;1147727408.0
139.0;0.9212999939918518;0.37736186385154724;1156044282.0
140.0;0.9199000000953674;0.38608741760253906;1164361163.0
141.0;0.920799970626831;0.3913269639015198;1172678037.0
142.0;0.9203000068664551;0.3972344994544983;1180994928.0
143.0;0.9204999804496765;0.39652252197265625;1189311807.0
144.0;0.9192000031471252;0.3985074758529663;1197628671.0
145.0;0.9197999835014343;0.40120840072631836;1205945572.0
146.0;0.920799970626831;0.40796810388565063;1214262435.0
147.0;0.9210000038146973;0.40665093064308167;1222579313.0
148.0;0.9212999939918518;0.4036523997783661;1230896191.0
149.0;0.9196000099182129;0.41147881746292114;1239213105.0
150.0;0.9204000234603882;0.41750457882881165;1247529988.0
151.0;0.9211000204086304;0.40451884269714355;1255846854.0
152.0;0.9208999872207642;0.4117150902748108;1264163722.0
153.0;0.9217000007629395;0.41909536719322205;1272480633.0
154.0;0.9210000038146973;0.4195183217525482;1280797533.0
155.0;0.920799970626831;0.4259389042854309;1289114412.0
156.0;0.9199000000953674;0.4281608760356903;1297431295.0
157.0;0.920199990272522;0.4300919473171234;1305748171.0
158.0;0.9210000038146973;0.43614697456359863;1314065078.0
159.0;0.9197999835014343;0.4256989359855652;1322381967.0
160.0;0.9207000136375427;0.4098314344882965;1330698860.0
161.0;0.9211000204086304;0.42021533846855164;1339015751.0
162.0;0.9211000204086304;0.4255381226539612;1347332665.0
163.0;0.9207000136375427;0.4340261220932007;1355649581.0
164.0;0.920799970626831;0.436402827501297;1363966481.0
165.0;0.9204000234603882;0.4388965964317322;1372283356.0
166.0;0.9214000105857849;0.4451633393764496;1380600329.0
167.0;0.9208999872207642;0.4495250880718231;1388917239.0
168.0;0.9205999970436096;0.4464106559753418;1397234152.0
169.0;0.9212999939918518;0.45351988077163696;1405551062.0
170.0;0.9217000007629395;0.4585169851779938;1413867993.0
171.0;0.9217000007629395;0.45046865940093994;1422184935.0
172.0;0.9204000234603882;0.4493516981601715;1430501836.0
173.0;0.9217000007629395;0.4477140009403229;1438818719.0
174.0;0.9210000038146973;0.44902586936950684;1447135625.0
175.0;0.9221000075340271;0.4537568986415863;1455452548.0
176.0;0.9212999939918518;0.4581167995929718;1463769478.0
177.0;0.9217000007629395;0.46665722131729126;1472086423.0
178.0;0.9222000241279602;0.46969786286354065;1480403345.0
179.0;0.9215999841690063;0.47277387976646423;1488720268.0
180.0;0.9222000241279602;0.4745224118232727;1497037216.0
181.0;0.9196000099182129;0.47242915630340576;1505354141.0
182.0;0.9207000136375427;0.46598613262176514;1513671142.0
183.0;0.9207000136375427;0.4729357361793518;1521988086.0
184.0;0.9204000234603882;0.465593546628952;1530305010.0
185.0;0.9218000173568726;0.4716488718986511;1538621978.0
186.0;0.9222999811172485;0.4779181182384491;1546938911.0
187.0;0.9211000204086304;0.4814491271972656;1555255902.0
188.0;0.9218000173568726;0.4851049780845642;1563572952.0
189.0;0.9192000031471252;0.46699169278144836;1571889921.0
190.0;0.9203000068664551;0.4727107286453247;1580206881.0
191.0;0.9208999872207642;0.4797168970108032;1588523848.0
192.0;0.9205999970436096;0.4840467870235443;1596840796.0
193.0;0.920799970626831;0.48848241567611694;1605157739.0
194.0;0.9203000068664551;0.4906204640865326;1613474617.0
195.0;0.9200000166893005;0.4945605397224426;1621791577.0
196.0;0.9197999835014343;0.4797864258289337;1630108502.0
197.0;0.9205999970436096;0.4801672399044037;1638425447.0
198.0;0.9218999743461609;0.4861012101173401;1646742378.0
199.0;0.921500027179718;0.4913194477558136;1655059345.0
200.0;0.9211999773979187;0.4953013062477112;1663376315.0
