Iteration;Accuracy
1.0;0.5879999995231628
2.0;0.7767999768257141
3.0;0.8259999752044678
4.0;0.8740000128746033
5.0;0.9083999991416931
6.0;0.9239000082015991
7.0;0.9319999814033508
8.0;0.9366999864578247
9.0;0.9430000185966492
10.0;0.9473999738693237
11.0;0.9510999917984009
12.0;0.9546999931335449
13.0;0.9560999870300293
14.0;0.9585000276565552
15.0;0.9613999724388123
16.0;0.9628999829292297
17.0;0.9649999737739563
18.0;0.9666000008583069
19.0;0.9677000045776367
20.0;0.9700999855995178
21.0;0.9711999893188477
22.0;0.9725000262260437
23.0;0.973800003528595
24.0;0.9746000170707703
25.0;0.9764000177383423
26.0;0.9775000214576721
27.0;0.9782000184059143
28.0;0.978600025177002
29.0;0.978600025177002
30.0;0.9790999889373779
31.0;0.9800000190734863
32.0;0.980400025844574
33.0;0.9805999994277954
34.0;0.9803000092506409
35.0;0.9810000061988831
36.0;0.9812999963760376
37.0;0.9810000061988831
38.0;0.9822999835014343
39.0;0.9821000099182129
40.0;0.982200026512146
41.0;0.9818999767303467
42.0;0.9825000166893005
43.0;0.9828000068664551
44.0;0.9833999872207642
45.0;0.9835000038146973
46.0;0.9836000204086304
47.0;0.984000027179718
48.0;0.9843000173568726
49.0;0.984499990940094
50.0;0.9847000241279602
51.0;0.9848999977111816
52.0;0.9854999780654907
53.0;0.9858999848365784
54.0;0.9861000180244446
55.0;0.9855999946594238
56.0;0.9861000180244446
57.0;0.9858999848365784
58.0;0.9864000082015991
59.0;0.9868000149726868
60.0;0.9861000180244446
61.0;0.9864000082015991
62.0;0.9871000051498413
63.0;0.9869999885559082
64.0;0.9872000217437744
65.0;0.9869999885559082
66.0;0.9872999787330627
67.0;0.9879999756813049
68.0;0.9876999855041504
69.0;0.9878000020980835
70.0;0.9879000186920166
71.0;0.9879000186920166
72.0;0.9883999824523926
73.0;0.9883000254631042
74.0;0.9883999824523926
75.0;0.9879999756813049
76.0;0.9882000088691711
77.0;0.9887999892234802
78.0;0.9886999726295471
79.0;0.9887999892234802
80.0;0.9886999726295471
81.0;0.9890999794006348
82.0;0.9889000058174133
83.0;0.9891999959945679
84.0;0.9896000027656555
85.0;0.9897000193595886
86.0;0.9894999861717224
87.0;0.9894999861717224
88.0;0.9896000027656555
89.0;0.9894000291824341
90.0;0.989799976348877
91.0;0.9898999929428101
92.0;0.9900000095367432
93.0;0.9896000027656555
94.0;0.989799976348877
95.0;0.9897000193595886
96.0;0.9901999831199646
97.0;0.9898999929428101
98.0;0.9901000261306763
99.0;0.9898999929428101
100.0;0.9900000095367432
