Iteration;Accuracy;Loss
1.0;0.46869999170303345;1.4959033727645874
2.0;0.5498999953269958;1.3882133960723877
3.0;0.623199999332428;1.2457013130187988
4.0;0.6316999793052673;1.3036528825759888
5.0;0.6556000113487244;1.4673445224761963
6.0;0.652400016784668;1.4844340085983276
7.0;0.680899977684021;1.462025761604309
8.0;0.6880000233650208;1.4912388324737549
9.0;0.6926000118255615;1.497549295425415
10.0;0.6937000155448914;1.4753304719924927
11.0;0.6942999958992004;1.4874188899993896
12.0;0.696399986743927;1.5144741535186768
13.0;0.6990000009536743;1.547369122505188
14.0;0.6970999836921692;1.5737046003341675
15.0;0.6969000101089478;1.6083965301513672
16.0;0.6974999904632568;1.6656209230422974
17.0;0.6992999911308289;1.6873488426208496
18.0;0.6988999843597412;1.7351468801498413
19.0;0.7003999948501587;1.7966740131378174
20.0;0.6980999708175659;1.8242169618606567
21.0;0.6980999708175659;1.8947821855545044
22.0;0.6988999843597412;1.9082331657409668
23.0;0.698199987411499;1.9686402082443237
24.0;0.6990000009536743;1.9826349020004272
25.0;0.7001000046730042;2.0368263721466064
26.0;0.7001000046730042;2.0858945846557617
27.0;0.6995999813079834;2.1256659030914307
28.0;0.6992999911308289;2.161435127258301
29.0;0.6995999813079834;2.193408489227295
30.0;0.699999988079071;2.2210264205932617
31.0;0.6998000144958496;2.246870756149292
32.0;0.699400007724762;2.2702269554138184
33.0;0.6991999745368958;2.291947364807129
34.0;0.6990000009536743;2.3119359016418457
35.0;0.6991999745368958;2.330409049987793
36.0;0.6992999911308289;2.3479034900665283
37.0;0.6991999745368958;2.364650249481201
38.0;0.6988999843597412;2.38030743598938
39.0;0.6984999775886536;2.3952109813690186
40.0;0.6983000040054321;2.409170627593994
41.0;0.698199987411499;2.4225070476531982
42.0;0.6980000138282776;2.435317039489746
43.0;0.6974999904632568;2.4476659297943115
44.0;0.6972000002861023;2.45949125289917
45.0;0.6969000101089478;2.470562219619751
46.0;0.6969000101089478;2.48140811920166
47.0;0.6966999769210815;2.4919590950012207
48.0;0.6965000033378601;2.502150297164917
49.0;0.6966000199317932;2.511732339859009
50.0;0.6965000033378601;2.5211942195892334
