Iteration;Accuracy;Loss
1.0;0.1729000061750412;2.2700107097625732
2.0;0.22380000352859497;2.188478946685791
3.0;0.2858999967575073;2.059246778488159
4.0;0.2897000014781952;1.9861328601837158
5.0;0.3050999939441681;1.9443312883377075
6.0;0.32499998807907104;1.8978335857391357
7.0;0.34850001335144043;1.8523530960083008
8.0;0.3564000129699707;1.8205612897872925
9.0;0.37529999017715454;1.7723095417022705
10.0;0.3935000002384186;1.7265236377716064
11.0;0.4041999876499176;1.6839278936386108
12.0;0.4196999967098236;1.6495823860168457
13.0;0.4242999851703644;1.6311566829681396
14.0;0.4399999976158142;1.5798245668411255
15.0;0.4507000148296356;1.55068838596344
16.0;0.4578999876976013;1.5263118743896484
17.0;0.4636000096797943;1.5064923763275146
18.0;0.47029998898506165;1.4912599325180054
19.0;0.4821000099182129;1.4626868963241577
20.0;0.4878999888896942;1.4427443742752075
21.0;0.4925000071525574;1.4299201965332031
22.0;0.5019999742507935;1.4054718017578125
23.0;0.508400022983551;1.388553261756897
24.0;0.5115000009536743;1.3741106986999512
25.0;0.5167999863624573;1.364274501800537
26.0;0.5202999711036682;1.3469194173812866
27.0;0.5295000076293945;1.3329192399978638
28.0;0.5304999947547913;1.3231943845748901
29.0;0.5407999753952026;1.3069275617599487
30.0;0.5432000160217285;1.2960776090621948
